version,number of symbols,added symbols,removed symbols
0.16.12,743,0,0
0.16.10,743,0,0
0.16.6,743,0,0
0.16.5,743,0,0
0.16.4,743,0,0
0.16.1,743,0,0
0.15.100,743,0,0
0.15.98,743,0,0
0.15.95,743,0,0
0.15.93,743,0,0
0.15.92,743,0,44
0.15.85,787,0,0
0.15.84,787,0,0
0.15.83,787,0,0
0.15.82,787,12,0
0.15.81,775,0,0
0.15.80,775,0,0
0.15.79,775,4,2
0.15.75,773,7,0
0.15.72,766,0,0
0.15.71,766,44,0
0.15.69,722,0,0
0.15.67,722,1,0
0.15.64,721,0,0
0.15.63,721,2,0
0.15.61,719,21,5
0.15.52,703,0,0
0.15.51,703,2,0
0.15.49,701,0,0
0.15.48,701,4,29
0.15.41,726,6,0
0.15.37,720,0,0
0.15.35,720,2,0
0.15.31,718,26,0
0.15.21,692,33,2
0.15.0,661,16,4
0.14.11,649,0,0
0.14.9,649,0,21
0.14.8,670,49,10
0.13.14,631,,
