version,number of symbols,added symbols,removed symbols
2020.11.13,674,0,0
2020.10.28,674,4,0
2020.10.15,670,0,0
2020.9.27,670,0,0
2020.6.8,670,0,0
2020.5.14,670,0,0
2020.5.7,670,0,0
2020.4.4,670,0,0
2020.2.20,670,0,0
2020.1.7,670,0,0
2019.12.19,670,0,0
2019.12.9,670,0,0
2019.11.1,670,412,9
2019.04.12,267,5,409
2019.03.12,671,1,0
2019.02.20,670,643,210
2019.02.06,237,0,0
2019.01.24,237,5,2
2018.11.07,234,2,5
2018.11.06,237,0,0
2018.11.03,237,0,0
2018.08.29,237,5,2
2018.08.17,234,0,0
2018.07.11,234,4,4
2018.06.21,234,3,2
2018.06.09,233,0,4
2018.02.21,237,2,1
2018.01.10,236,0,0
2017.12.05,236,0,0
2017.11.09,236,0,0
2017.07.28,236,2,3
2017.07.11,237,3,2
2017.06.23,236,0,0
2017.05.26,236,0,0
2017.04.29,236,2,3
2017.04.05,237,5,3
2016.12.27,235,0,0
2016.10.22,235,0,0
2016.07.21,235,2,3
2016.06.19,236,0,0
2016.05.15,236,6,2
2016.03.31,232,,
